branch_id,Monetary,clv,clv_Tile,Mone_Tile,score_v1,score,score_level,cluster_labels
2010,4582217,31140,1,2,12,3,Churned,cluster_2
2018,334908,18920,1,1,11,2,Churned,cluster_0
2029,14086119,39675,3,4,34,7,Loyal,cluster_2
2039,2808819,34716,2,1,21,3,Churned,cluster_2
2085,12777472,39140,3,4,34,7,Loyal,cluster_2
2145,17430204,46740,4,4,44,8,Premium,cluster_1
2158,6769225,35310,2,3,23,5,Regular,cluster_2
2173,2183139,34505,2,1,21,3,Churned,cluster_2
2190,6,0,1,1,11,2,Churned,cluster_0
2199,4096,2920,1,1,11,2,Churned,cluster_0
2205,9573904,31204,1,3,13,4,Regular,cluster_2
2235,3904220,36448,3,2,32,5,Regular,cluster_2
2250,131244,15168,1,1,11,2,Churned,cluster_0
2255,5143726,35259,2,2,22,4,Regular,cluster_2
2271,234229,24408,1,1,11,2,Churned,cluster_0
2310,11588815,36516,3,4,34,7,Loyal,cluster_2
2317,4660132,45135,4,2,42,6,Loyal,cluster_2
2429,9923551,32280,2,3,23,5,Regular,cluster_2
2432,3017835,33020,2,1,21,3,Churned,cluster_2
2449,16210883,35880,2,4,24,6,Loyal,cluster_2
2468,179655,7641,1,1,11,2,Churned,cluster_0
2472,4947134,31620,2,2,22,4,Regular,cluster_2
2484,6829436,35156,2,3,23,5,Regular,cluster_2
2523,12926777,34980,2,4,24,6,Loyal,cluster_2
2537,4271572,32571,2,2,22,4,Regular,cluster_2
2568,8263604,40788,3,3,33,6,Loyal,cluster_2
2599,16571885,45948,4,4,44,8,Premium,cluster_1
2624,20334808,52272,4,4,44,8,Premium,cluster_1
2627,7781710,34237,2,3,23,5,Regular,cluster_2
2649,2414583,40271,3,1,31,4,Regular,cluster_2
2669,12293011,36501,3,4,34,7,Loyal,cluster_2
2708,10460622,42510,4,4,44,8,Premium,cluster_2
2720,4449336,34505,2,2,22,4,Regular,cluster_2
2730,3590367,34237,2,2,22,4,Regular,cluster_2
2732,19207576,37570,3,4,34,7,Loyal,cluster_1
2743,976,366,1,1,11,2,Churned,cluster_0
2744,6386772,31152,1,3,13,4,Regular,cluster_2
2751,6674578,40356,3,3,33,6,Loyal,cluster_2
2771,16822745,42354,4,4,44,8,Premium,cluster_1
2796,3843868,27189,1,2,12,3,Churned,cluster_2
2829,8448478,39476,3,3,33,6,Loyal,cluster_2
2876,4890025,36432,3,2,32,5,Regular,cluster_2
2894,8470380,40734,3,3,33,6,Loyal,cluster_2
2907,30805205,50572,4,4,44,8,Premium,cluster_1
2912,19246501,49653,4,4,44,8,Premium,cluster_1
2921,199667,29820,1,1,11,2,Churned,cluster_2
2925,67,67,1,1,11,2,Churned,cluster_0
2929,6909715,41393,4,3,43,7,Loyal,cluster_2
2940,11005963,37788,3,4,34,7,Loyal,cluster_2
2964,5486815,32513,2,2,22,4,Regular,cluster_2
2980,3129,1125,1,1,11,2,Churned,cluster_0
2986,339,226,1,1,11,2,Churned,cluster_0
3008,6049411,44800,4,2,42,6,Loyal,cluster_2
3013,7068414,38088,3,3,33,6,Loyal,cluster_2
3014,174973,5719,1,1,11,2,Churned,cluster_0
3015,3006791,37157,3,1,31,4,Regular,cluster_2
3054,24255886,46215,4,4,44,8,Premium,cluster_1
3153,7857483,37876,3,3,33,6,Loyal,cluster_2
3175,11323902,35712,2,4,24,6,Loyal,cluster_2
3194,9399373,40500,3,3,33,6,Loyal,cluster_2
3206,4123761,30624,1,2,12,3,Churned,cluster_2
3212,6300827,36294,3,3,33,6,Loyal,cluster_2
3222,2828841,96418,4,1,41,5,Regular,cluster_2
3225,28133336,51015,4,4,44,8,Premium,cluster_1
3276,2257885,49257,4,1,41,5,Regular,cluster_2
