branch_id,Monetary,clv,clv_Tile,Mone_Tile,score_v1,score,score_level
1932,4584338,34584,2,2,22,4,Regular
2010,4582217,31140,1,2,12,3,Churned
2018,334908,18920,1,1,11,2,Churned
2029,14086119,39675,3,4,34,7,Loyal
2039,2808819,34716,2,1,21,3,Churned
2085,12777472,39140,3,4,34,7,Loyal
2145,17430204,46740,4,4,44,8,Premium
2158,6769225,35310,2,3,23,5,Regular
2173,2183139,34505,2,1,21,3,Churned
2190,6,0,1,1,11,2,Churned
2199,4096,2920,1,1,11,2,Churned
2205,9573904,31204,1,3,13,4,Regular
2235,3904220,36448,3,2,32,5,Regular
2250,131244,15168,1,1,11,2,Churned
2255,5143726,35259,2,2,22,4,Regular
2271,234229,24408,1,1,11,2,Churned
2310,11588815,36516,3,4,34,7,Loyal
2317,4660132,45135,4,2,42,6,Loyal
2429,9923551,32280,2,3,23,5,Regular
2432,3017835,33020,2,1,21,3,Churned
2449,16210883,35880,2,4,24,6,Loyal
2468,179655,7641,1,1,11,2,Churned
2472,4947134,31620,2,2,22,4,Regular
2484,6829436,35156,2,3,23,5,Regular
2523,12926777,34980,2,4,24,6,Loyal
2537,4271572,32571,2,2,22,4,Regular
2568,8263604,40788,3,3,33,6,Loyal
2599,16571885,45948,4,4,44,8,Premium
2624,20334808,52272,4,4,44,8,Premium
2627,7781710,34237,2,3,23,5,Regular
2649,2414583,40271,3,1,31,4,Regular
2669,12293011,36501,3,4,34,7,Loyal
2708,10460622,42510,4,4,44,8,Premium
2720,4449336,34505,2,2,22,4,Regular
2730,3590367,34237,2,2,22,4,Regular
2732,19207576,37570,3,4,34,7,Loyal
2743,976,366,1,1,11,2,Churned
2744,6386772,31152,1,3,13,4,Regular
2751,6674578,40356,3,3,33,6,Loyal
2771,16822745,42354,4,4,44,8,Premium
2796,3843868,27189,1,2,12,3,Churned
2829,8448478,39476,3,3,33,6,Loyal
2876,4890025,36432,3,2,32,5,Regular
2894,8470380,40734,3,3,33,6,Loyal
2907,30805205,50572,4,4,44,8,Premium
2912,19246501,49653,4,4,44,8,Premium
2921,199667,29820,1,1,11,2,Churned
2925,67,67,1,1,11,2,Churned
2929,6909715,41393,4,3,43,7,Loyal
2940,11005963,37788,3,4,34,7,Loyal
2964,5486815,32513,2,2,22,4,Regular
2980,3129,1125,1,1,11,2,Churned
2986,339,226,1,1,11,2,Churned
3008,6049411,44800,4,2,42,6,Loyal
3013,7068414,38088,3,3,33,6,Loyal
3014,174973,5719,1,1,11,2,Churned
3015,3006791,37157,3,1,31,4,Regular
3054,24255886,46215,4,4,44,8,Premium
3153,7857483,37876,3,3,33,6,Loyal
3175,11323902,35712,2,4,24,6,Loyal
3194,9399373,40500,3,3,33,6,Loyal
3206,4123761,30624,1,2,12,3,Churned
3212,6300827,36294,3,3,33,6,Loyal
3222,2828841,96418,4,1,41,5,Regular
3225,28133336,51015,4,4,44,8,Premium
3276,2257885,49257,4,1,41,5,Regular
3277,5160172,38324,3,2,32,5,Regular
3279,4187806,37008,3,2,32,5,Regular
3283,9389869,46728,4,3,43,7,Loyal
3318,52034507,53311,4,4,44,8,Premium
3353,4698095,30621,1,2,12,3,Churned
3358,10175211,40044,3,4,34,7,Loyal
3367,8062476,40425,3,3,33,6,Loyal
3370,4656755,34905,2,2,22,4,Regular
3371,6287817,36381,3,2,32,5,Regular
3376,3082705,31537,1,1,11,2,Churned
3400,7650116,37450,3,3,33,6,Loyal
3402,6051164,31440,1,2,12,3,Churned
3416,9311726,33117,2,3,23,5,Regular
3417,19987118,50840,4,4,44,8,Premium
3420,581487,42714,4,1,41,5,Regular
3421,7891917,38179,3,3,33,6,Loyal
3439,4465955,36432,3,2,32,5,Regular
3486,8013402,37346,3,3,33,6,Loyal
3550,28396625,57950,4,4,44,8,Premium
3568,5872906,37152,3,2,32,5,Regular
3577,6214842,32697,2,2,22,4,Regular
3607,968710,45770,4,1,41,5,Regular
3627,1289098,22860,1,1,11,2,Churned
3637,6281733,34650,2,2,22,4,Regular
3679,3411329,32890,2,2,22,4,Regular
3727,6573926,36828,3,3,33,6,Loyal
3738,6926701,31372,1,3,13,4,Regular
3754,3735238,33201,2,2,22,4,Regular
3755,8316549,43914,4,3,43,7,Loyal
3808,13198,1518,1,1,11,2,Churned
3857,3389352,28765,1,2,12,3,Churned
3870,83550,14016,1,1,11,2,Churned
3891,4763375,39900,3,2,32,5,Regular
3923,55552,2880,1,1,11,2,Churned
3924,7444521,31380,1,3,13,4,Regular
3926,13748475,37788,3,4,34,7,Loyal
3947,16052164,40530,3,4,34,7,Loyal
3951,60210,8120,1,1,11,2,Churned
3974,10476288,33217,2,4,24,6,Loyal
3997,20622980,41850,4,4,44,8,Premium
4031,5736074,34170,2,2,22,4,Regular
4048,25587796,50052,4,4,44,8,Premium
4072,12500733,40824,3,4,34,7,Loyal
4079,6565025,35750,2,3,23,5,Regular
4080,45112325,54708,4,4,44,8,Premium
4097,3286706,36915,3,2,32,5,Regular
4105,5119876,33410,2,2,22,4,Regular
4108,27174957,51888,4,4,44,8,Premium
4115,460633,35941,2,1,21,3,Churned
4137,6456240,38033,3,3,33,6,Loyal
4145,13838039,40661,3,4,34,7,Loyal
4150,5771277,30798,1,2,12,3,Churned
4154,9188845,38433,3,3,33,6,Loyal
4155,6936381,38592,3,3,33,6,Loyal
4157,27223136,35310,2,4,24,6,Loyal
4164,6180720,35604,2,2,22,4,Regular
4179,11483866,42120,4,4,44,8,Premium
4200,2613936,32890,2,1,21,3,Churned
4211,32401,660,1,1,11,2,Churned
4214,505777,31020,1,1,11,2,Churned
4221,61334,16480,1,1,11,2,Churned
4245,16107124,56964,4,4,44,8,Premium
4257,5325494,38962,3,2,32,5,Regular
4277,4495020,36960,3,2,32,5,Regular
4280,18242560,35774,2,4,24,6,Loyal
4289,504622,36478,3,1,31,4,Regular
4318,3101514,30031,1,1,11,2,Churned
4345,2768759,31560,1,1,11,2,Churned
4349,14992781,38155,3,4,34,7,Loyal
4403,9786997,34914,2,3,23,5,Regular
4424,35329163,54450,4,4,44,8,Premium
4435,221,55,1,1,11,2,Churned
4471,4282871,31329,1,2,12,3,Churned
4473,3734778,28560,1,2,12,3,Churned
4494,5646223,34902,2,2,22,4,Regular
4496,6752181,37051,3,3,33,6,Loyal
4513,23011893,53865,4,4,44,8,Premium
4537,4246814,30096,1,2,12,3,Churned
4552,5500320,29920,1,2,12,3,Churned
4561,4608240,35309,2,2,22,4,Regular
4587,1013,336,1,1,11,2,Churned
4603,15996599,42640,4,4,44,8,Premium
4607,4184097,28875,1,2,12,3,Churned
4611,21637636,57267,4,4,44,8,Premium
4613,22894924,54270,4,4,44,8,Premium
4683,9335297,47971,4,3,43,7,Loyal
4701,7325046,40880,4,3,43,7,Loyal
4717,4737182,35008,2,2,22,4,Regular
4741,7384222,33240,2,3,23,5,Regular
4747,10535781,47175,4,4,44,8,Premium
4772,194508,11092,1,1,11,2,Churned
4775,582629,39897,3,1,31,4,Regular
4776,3917452,33705,2,2,22,4,Regular
4781,13758184,43128,4,4,44,8,Premium
4828,119067,18632,1,1,11,2,Churned
4835,4354334,39216,3,2,32,5,Regular
4842,6496612,37062,3,3,33,6,Loyal
4862,586,120,1,1,11,2,Churned
4869,14764679,49152,4,4,44,8,Premium
4937,8706091,45501,4,3,43,7,Loyal
4952,3360702,36890,3,2,32,5,Regular
4984,3621459,30078,1,2,12,3,Churned
5002,167,81,1,1,11,2,Churned
5012,26822579,51744,4,4,44,8,Premium
5086,10929528,38016,3,4,34,7,Loyal
5122,5121538,34639,2,2,22,4,Regular
5129,78522,4914,1,1,11,2,Churned
5167,5112044,37887,3,2,32,5,Regular
5181,10337989,38016,3,4,34,7,Loyal
5206,7465308,44429,4,3,43,7,Loyal
5226,4471211,30508,1,2,12,3,Churned
5240,9077024,38736,3,3,33,6,Loyal
5255,4699521,31806,2,2,22,4,Regular
5261,13182462,40700,3,4,34,7,Loyal
5274,4503557,39372,3,2,32,5,Regular
5297,9005152,33360,2,3,23,5,Regular
5301,4369725,33232,2,2,22,4,Regular
5314,325559,4565,1,1,11,2,Churned
5339,2202954,33600,2,1,21,3,Churned
5344,6125778,39405,3,2,32,5,Regular
5395,10599255,32674,2,4,24,6,Loyal
5420,6481683,33001,2,3,23,5,Regular
5440,14413486,45040,4,4,44,8,Premium
5445,7965178,32804,2,3,23,5,Regular
5472,7432492,34398,2,3,23,5,Regular
5489,42868112,53600,4,4,44,8,Premium
5494,71492,4725,1,1,11,2,Churned
5495,12325479,40275,3,4,34,7,Loyal
5499,2935225,38608,3,1,31,4,Regular
5502,8087538,37960,3,3,33,6,Loyal
5514,7517916,37559,3,3,33,6,Loyal
5534,653,217,1,1,11,2,Churned
5558,11691451,46640,4,4,44,8,Premium
5579,8895618,34368,2,3,23,5,Regular
5616,27855069,54281,4,4,44,8,Premium
5663,6807154,32896,2,3,23,5,Regular
5675,16966076,39405,3,4,34,7,Loyal
5710,7098342,36040,2,3,23,5,Regular
5772,6210356,38998,3,2,32,5,Regular
5778,4568609,34970,2,2,22,4,Regular
5838,1676432,30420,1,1,11,2,Churned
5856,5628531,39201,3,2,32,5,Regular
5884,5433700,39537,3,2,32,5,Regular
5943,2058,256,1,1,11,2,Churned
5949,21722813,50976,4,4,44,8,Premium
5964,8448396,35815,2,3,23,5,Regular
5970,9035092,33852,2,3,23,5,Regular
6035,25330630,50112,4,4,44,8,Premium
6071,6632184,38088,3,3,33,6,Loyal
6082,6864921,32798,2,3,23,5,Regular
6135,5207781,35840,2,2,22,4,Regular
6164,11665208,39192,3,4,34,7,Loyal
6179,29798922,50255,4,4,44,8,Premium
6184,31847192,50778,4,4,44,8,Premium
6207,6875722,39116,3,3,33,6,Loyal
6213,674,42,1,1,11,2,Churned
6224,5444350,36680,3,2,32,5,Regular
6233,89289,12317,1,1,11,2,Churned
6254,731,365,1,1,11,2,Churned
6376,22320817,53836,4,4,44,8,Premium
6380,2658896,29913,1,1,11,2,Churned
6407,12075430,41657,4,4,44,8,Premium
6465,7379997,34775,2,3,23,5,Regular
6466,2686217,29469,1,1,11,2,Churned
6468,0,0,1,1,11,2,Churned
6484,1584078,33530,2,1,21,3,Churned
6508,9316451,37940,3,3,33,6,Loyal
6522,6627578,36260,3,3,33,6,Loyal
6563,6288329,35535,2,3,23,5,Regular
6567,12000676,42849,4,4,44,8,Premium
6570,6252838,36366,3,2,32,5,Regular
6596,8620942,45024,4,3,43,7,Loyal
6604,8420725,42720,4,3,43,7,Loyal
6654,5976542,33792,2,2,22,4,Regular
6656,7752985,37985,3,3,33,6,Loyal
6693,4253473,29568,1,2,12,3,Churned
6695,6905049,35595,2,3,23,5,Regular
6702,39388744,58100,4,4,44,8,Premium
6705,3665137,35343,2,2,22,4,Regular
6740,8752111,39334,3,3,33,6,Loyal
6778,9801146,41218,4,3,43,7,Loyal
6829,520863,39516,3,1,31,4,Regular
6870,20740612,57519,4,4,44,8,Premium
7041,11647627,46464,4,4,44,8,Premium
7051,8176511,39809,3,3,33,6,Loyal
7076,11721,678,1,1,11,2,Churned
7086,5549314,44968,4,2,42,6,Loyal
7091,2561458,34438,2,1,21,3,Churned
7101,11673673,36099,2,4,24,6,Loyal
7119,3607203,32364,2,2,22,4,Regular
7136,6092041,36180,2,2,22,4,Regular
7167,7068827,42042,4,3,43,7,Loyal
7192,12794773,42000,4,4,44,8,Premium
7201,20667381,54843,4,4,44,8,Premium
7203,9972947,36855,3,4,34,7,Loyal
7245,16182056,45708,4,4,44,8,Premium
7250,9858682,43813,4,3,43,7,Loyal
7251,2711070,31930,2,1,21,3,Churned
7290,8224452,29160,1,3,13,4,Regular
7340,4570725,30334,1,2,12,3,Churned
7358,8062224,41580,4,3,43,7,Loyal
7372,3202382,39600,3,1,31,4,Regular
7412,4692460,39501,3,2,32,5,Regular
7439,5074359,33567,2,2,22,4,Regular
7453,3810251,29913,1,2,12,3,Churned
7470,70426,10395,1,1,11,2,Churned
7541,5713105,31506,1,2,12,3,Churned
7548,6545510,32697,2,3,23,5,Regular
7560,15381188,46332,4,4,44,8,Premium
7566,8172104,38220,3,3,33,6,Loyal
7604,3505943,34840,2,2,22,4,Regular
7631,331387,16435,1,1,11,2,Churned
7664,3127596,32330,2,1,21,3,Churned
7678,26262637,55341,4,4,44,8,Premium
7679,273,33,1,1,11,2,Churned
7682,9211233,46956,4,3,43,7,Loyal
7712,3331576,31436,1,2,12,3,Churned
7722,292030,34077,2,1,21,3,Churned
7802,9552028,37053,3,3,33,6,Loyal
7843,7885849,45684,4,3,43,7,Loyal
7856,4151815,31977,2,2,22,4,Regular
7878,10888588,39900,3,4,34,7,Loyal
7887,7305709,36040,2,3,23,5,Regular
7912,19340,5049,1,1,11,2,Churned
7943,6433544,35456,2,3,23,5,Regular
7992,10888067,46440,4,4,44,8,Premium
7993,14331466,41272,4,4,44,8,Premium
8026,9059150,39865,3,3,33,6,Loyal
8035,3649911,34782,2,2,22,4,Regular
8048,5537521,34980,2,2,22,4,Regular
8083,12022262,47260,4,4,44,8,Premium
8159,12918629,49440,4,4,44,8,Premium
8176,1866,810,1,1,11,2,Churned
8192,4399694,38988,3,2,32,5,Regular
8209,6339061,34170,2,3,23,5,Regular
8215,3524339,33536,2,2,22,4,Regular
8281,22400786,49155,4,4,44,8,Premium
8289,11718546,37260,3,4,34,7,Loyal
8316,19788015,52600,4,4,44,8,Premium
8324,28489708,53156,4,4,44,8,Premium
8339,10096191,40661,3,4,34,7,Loyal
8350,10457949,42750,4,4,44,8,Premium
8361,4664968,37264,3,2,32,5,Regular
8453,7171974,31842,2,3,23,5,Regular
8470,12189932,43882,4,4,44,8,Premium
8479,24,12,1,1,11,2,Churned
8482,8791809,40774,3,3,33,6,Loyal
8488,6437022,31868,2,3,23,5,Regular
8491,134278,15730,1,1,11,2,Churned
8539,11768975,40896,4,4,44,8,Premium
8558,75674,9261,1,1,11,2,Churned
8585,8523260,46376,4,3,43,7,Loyal
8615,2060483,28785,1,1,11,2,Churned
8646,5732715,35380,2,2,22,4,Regular
8647,498914,31842,2,1,21,3,Churned
8662,764276,25648,1,1,11,2,Churned
8668,8219375,34112,2,3,23,5,Regular
8699,4602347,37060,3,2,32,5,Regular
8705,6447661,36156,2,3,23,5,Regular
8711,14377353,43500,4,4,44,8,Premium
8712,8630787,42354,4,3,43,7,Loyal
8716,7301764,37962,3,3,33,6,Loyal
8732,9671094,29432,1,3,13,4,Regular
8768,6074466,33245,2,2,22,4,Regular
8796,4618662,40125,3,2,32,5,Regular
8807,12824187,44654,4,4,44,8,Premium
8813,9715571,41268,4,3,43,7,Loyal
8828,14140164,45264,4,4,44,8,Premium
8833,4852459,29870,1,2,12,3,Churned
8878,1674031,44556,4,1,41,5,Regular
8921,9171322,36856,3,3,33,6,Loyal
8927,9755583,39931,3,3,33,6,Loyal
8946,3577450,40104,3,2,32,5,Regular
8955,2779,370,1,1,11,2,Churned
8973,13284232,44148,4,4,44,8,Premium
9004,5069998,35108,2,2,22,4,Regular
9006,6407182,33327,2,3,23,5,Regular
9028,20302959,43168,4,4,44,8,Premium
9050,10235003,37170,3,4,34,7,Loyal
9073,7346319,35310,2,3,23,5,Regular
9089,48998,504,1,1,11,2,Churned
9092,4961862,43946,4,2,42,6,Loyal
9110,10800566,30385,1,4,14,5,Regular
9111,10709695,37808,3,4,34,7,Loyal
9136,6647342,34810,2,3,23,5,Regular
9162,9657431,43214,4,3,43,7,Loyal
9187,1361682,14560,1,1,11,2,Churned
9206,8525464,37051,3,3,33,6,Loyal
9215,6578794,41588,4,3,43,7,Loyal
9220,8926725,35584,2,3,23,5,Regular
9244,6878177,38850,3,3,33,6,Loyal
9254,13548436,42778,4,4,44,8,Premium
9263,4721328,34170,2,2,22,4,Regular
9280,8178294,42106,4,3,43,7,Loyal
9313,3051045,30866,1,1,11,2,Churned
9341,9224573,43736,4,3,43,7,Loyal
9375,2958279,70056,4,1,41,5,Regular
9381,7532240,32768,2,3,23,5,Regular
9417,9648688,41625,4,3,43,7,Loyal
9427,5790165,37520,3,2,32,5,Regular
9463,8093545,41475,4,3,43,7,Loyal
9505,516,146,1,1,11,2,Churned
9526,4652791,34505,2,2,22,4,Regular
9540,239366,31460,1,1,11,2,Churned
9574,202875,27783,1,1,11,2,Churned
9578,11672,3360,1,1,11,2,Churned
9599,8673642,41952,4,3,43,7,Loyal
9601,4667347,31146,1,2,12,3,Churned
9653,18777613,54500,4,4,44,8,Premium
9668,27794187,49920,4,4,44,8,Premium
9673,9242133,42846,4,3,43,7,Loyal
9678,4507871,37800,3,2,32,5,Regular
9682,12026599,40584,3,4,34,7,Loyal
9686,8818853,37604,3,3,33,6,Loyal
9697,11441130,43055,4,4,44,8,Premium
9699,7595632,40092,3,3,33,6,Loyal
9700,11453154,40888,4,4,44,8,Premium
9707,3174060,30044,1,1,11,2,Churned
9723,326267,14857,1,1,11,2,Churned
9729,9930397,47466,4,4,44,8,Premium
9746,10820116,50736,4,4,44,8,Premium
9770,13156070,32863,2,4,24,6,Loyal
9773,426278,34240,2,1,21,3,Churned
9794,8187471,36247,2,3,23,5,Regular
9803,3850445,32130,2,2,22,4,Regular
9807,300739,14152,1,1,11,2,Churned
9818,7140762,44064,4,3,43,7,Loyal
9821,7223817,35496,2,3,23,5,Regular
9822,6226518,38398,3,2,32,5,Regular
9860,2304401,31620,2,1,21,3,Churned
9870,6444510,38123,3,3,33,6,Loyal
9873,17807327,43852,4,4,44,8,Premium
9890,14561863,45985,4,4,44,8,Premium
9904,7909072,34752,2,3,23,5,Regular
9909,3497287,39900,3,2,32,5,Regular
9926,5390967,32757,2,2,22,4,Regular
9941,6276803,34970,2,2,22,4,Regular
9955,13269995,51456,4,4,44,8,Premium
9972,8173899,33390,2,3,23,5,Regular
10006,14334935,47790,4,4,44,8,Premium
10055,2934829,35259,2,1,21,3,Churned
10063,11795915,45440,4,4,44,8,Premium
10070,5289004,34060,2,2,22,4,Regular
10078,12947168,35216,2,4,24,6,Loyal
10103,18117,1956,1,1,11,2,Churned
10121,13193648,43520,4,4,44,8,Premium
10126,4293324,34572,2,2,22,4,Regular
10151,16511015,37876,3,4,34,7,Loyal
10194,6523381,33170,2,3,23,5,Regular
10198,6665384,41915,4,3,43,7,Loyal
10208,14649988,42265,4,4,44,8,Premium
10235,2237376,35242,2,1,21,3,Churned
10236,10913826,35464,2,4,24,6,Loyal
10242,17156330,44398,4,4,44,8,Premium
10261,999729,63801,4,1,41,5,Regular
10279,11946988,37310,3,4,34,7,Loyal
10288,190390,9176,1,1,11,2,Churned
10314,6938648,40733,3,3,33,6,Loyal
10319,10844673,44936,4,4,44,8,Premium
10343,3264296,30326,1,1,11,2,Churned
10348,140551,20790,1,1,11,2,Churned
10358,12869835,44710,4,4,44,8,Premium
10378,113550,27280,1,1,11,2,Churned
10388,251343,8733,1,1,11,2,Churned
10392,6285455,41952,4,2,42,6,Loyal
10398,9104905,40108,3,3,33,6,Loyal
10408,9312487,31140,1,3,13,4,Regular
10449,10685328,40810,3,4,34,7,Loyal
10467,8988331,41426,4,3,43,7,Loyal
10488,134881,13616,1,1,11,2,Churned
10494,2826185,34505,2,1,21,3,Churned
10515,7772674,37450,3,3,33,6,Loyal
10551,8135882,32700,2,3,23,5,Regular
10553,114,114,1,1,11,2,Churned
10555,6407662,41175,4,3,43,7,Loyal
10613,13833,3146,1,1,11,2,Churned
10684,4583073,29640,1,2,12,3,Churned
10690,2658029,36846,3,1,31,4,Regular
10720,11875008,43608,4,4,44,8,Premium
10742,6036508,37605,3,2,32,5,Regular
10744,4896079,39963,3,2,32,5,Regular
10751,8883095,36314,3,3,33,6,Loyal
10776,5290387,29120,1,2,12,3,Churned
10816,1010979,26260,1,1,11,2,Churned
10841,2826792,35910,2,1,21,3,Churned
10862,7538363,34209,2,3,23,5,Regular
10891,2943263,41280,4,1,41,5,Regular
10902,10043753,40050,3,4,34,7,Loyal
10929,5276951,38430,3,2,32,5,Regular
10936,4452648,35310,2,2,22,4,Regular
10945,3837505,37008,3,2,32,5,Regular
10964,9840324,38570,3,3,33,6,Loyal
10994,2962068,36068,2,1,21,3,Churned
11019,6965238,32880,2,3,23,5,Regular
11024,0,0,1,1,11,2,Churned
11057,18705979,47124,4,4,44,8,Premium
